Head,Relation,Tail,Head_Class,Tail_Class,Title,Articles
Draft Budget ,COMPLIES_TO,Multiannual Financial Framework,Draft_Budget,Legal_Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,"Article 54  Compliance with the multiannual financial framework and Decision 2014/335/EU, Euratom "
Structure ,SUBCLASS_OF,Draft Budget ,Draft_Budget ,Draft_Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Working Documents,SUBCLASS_OF,Structure ,Working_Documents,Draft_Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Budget Guarantees and Common Provisioning Fund Work Document,IS_INSTANCE_OF,Working Documents,Working_Documents,Working_Documents ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Budget Guarantees and Common Provisioning Fund Work Document,COMPRISED_OF,Budgetary Guarantees,Working_Documents,Budget_Tool,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Budget Guarantees and Common Provisioning Fund Work Document,COMPRISED_OF,Common Provisioning Fund ,Working_Documents,Fund,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Budgetary Guarantees,RULED_BY,Basic Act,Budget_Tool,Legal_Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Operations,SUBCLASS_OF,EU_Action ,EU_Action ,EU_Action ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Budgetary Guarantees,CONCERN,Operations,Budget_Tool,EU_Action ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Establishment Plan Work Document ,IS_INSTANCE_OF,Working Documents,Working_Documents,Working_Documents,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Establishment Plan Work Document ,COMPRISED_OF,Establishment Plan,Working_Documents,Budget_Tool,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Establishment Plan,CONCERNS,Personnel ,Budget_Tool,Human_Resources,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Euratom Supply Agency Staff ,COMPRISED_OF,Personnel ,Human_Resources,Human_Resources,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Euratom Supply Agency Staff ,INCLUDED_IN,Euratom Treaty,Human_Resources,Legal_Construct,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Personnel Statistics,CONCERNS ,Personnel ,Human_Resources,Human_Resources,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 52  Presentation of the budget 
Personnel Statistics,COMPRISED_OF,Posts,Human_Resources,Human_Resources,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Personnel Statistics,COMPRISED_OF,Number,Human_Resources,Human_Resources,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Personnel Statistics,COMPRISED_OF,Grade,Human_Resources,Human_Resources,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Personnel Statistics,COMPRISED_OF,Gender Balance,Human_Resources,Human_Resources,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
